"Class","Manufacturer","carline name","displ","cyl","trans","drv","cty","hwy","cmb","ucty","uhwy","ucmb","fl","G","T","S","2pv","2lv","4pv","4lv","hpv","hlv","fcost","eng dscr","trans dscr","vpc","cls"
"TWO SEATERS","ACURA","NSX",3,6,"Auto(L4)","R",17,24,20,19.23,30.15,22.98,"P",,,,,,,,,,1012,"DOHC-VTEC","2MODE",4,1
"TWO SEATERS","ACURA","NSX",3.2,6,"Manual(M6)","R",17,24,20,19,30.4,22.86,"P",,,,,,,,,,1012,"DOHC-VTEC",,4,1
"TWO SEATERS","BMW","M COUPE",3.2,6,"Manual(M5)","R",19,26,21,21.1,32.7,25.11,"P",,,,,,,,,,964,,,4,1
"TWO SEATERS","BMW","Z3 COUPE",2.8,6,"Auto(L4)","R",19,26,22,20.9,33.6,25.18,"P",,,,,,,,,,921,,,4,1
"TWO SEATERS","BMW","Z3 COUPE",2.8,6,"Manual(M5)","R",19,26,21,21.02,32.89,25.1,"P",,,,,,,,,,964,,,4,1
"TWO SEATERS","BMW","Z3 ROADSTER",2.5,6,"Auto(L4)","R",19,26,21,20.9,33.2,25.08,"P",,,,,,,,,,964,,,4,1
"TWO SEATERS","BMW","Z3 ROADSTER",2.5,6,"Manual(M5)","R",20,27,22,21.9,34.4,26.18,"P",,,,,,,,,,921,,,4,1
"TWO SEATERS","BMW","Z3 ROADSTER",2.8,6,"Auto(L4)","R",19,26,21,21,33,25.11,"P",,,,,,,,,,964,,,4,1
"TWO SEATERS","BMW","Z3 ROADSTER",2.8,6,"Manual(M5)","R",19,26,21,21.02,32.89,25.1,"P",,,,,,,,,,964,,,4,1
"TWO SEATERS","BMW","Z8",4.9,8,"Manual(M6)","R",13,21,16,14.95,26.33,18.56,"P","G",,,,,,,,,1266,"GUZZLER",,4,1
"TWO SEATERS","CHEVROLET","CORVETTE",5.7,8,"Auto(L4)","R",17,25,20,18.4,32.2,22.8,"P",,,,,,,,,,1012,,"CLKUP",2,1
"TWO SEATERS","CHEVROLET","CORVETTE",5.7,8,"Manual(M6)","R",18,27,22,20.4,34.9,25.09,"P",,,,,,,,,,921,,,2,1
"TWO SEATERS","DODGE","VIPER CONVERTIBLE",8,10,"Manual(M6)","R",12,21,15,13.39,26.8,17.28,"P","G",,,,,,,,,1351,"GUZZLER",,2,1
"TWO SEATERS","DODGE","VIPER COUPE",8,10,"Manual(M6)","R",12,21,15,13.39,26.8,17.28,"P","G",,,,,,,,,1351,"GUZZLER",,2,1
"TWO SEATERS","FERRARI","FERRARI 360 MODENA/SPIDER",3.6,8,"Manual(M6)","R",11,16,13,11.9,20.2,14.6,"P","G",,,,,,,,,1557,"GUZZLER",,5,1
"TWO SEATERS","FERRARI","FERRARI 360 MODENA/SPIDER",3.6,8,"Auto(S6)","R",10,16,12,11.65,20.5,14.46,"P","G",,,,,,,,,1687,"GUZZLER","3MODE",5,1
"TWO SEATERS","FERRARI","FERRARI 550 MARANELLO",5.5,12,"Manual(M6)","R",8,13,10,9.4,16.7,11.7,"P","G",,,,,,,,,2025,"GUZZLER",,4,1
"TWO SEATERS","HONDA","INSIGHT",1,3,"Manual(M5)","F",61,70,65,68.19,89.2,76.27,"R",,,,,,,,,,277,,"SIL",4,1
"TWO SEATERS","HONDA","S2000",2,4,"Manual(M6)","R",20,26,22,22.5,32.7,26.17,"P",,,,,,,,,,921,"DOHC-VTEC",,4,1
"TWO SEATERS","LOTUS","LOTUS ESPRIT.V8",3.5,8,"Manual(M5)","R",15,22,18,16.7,28.8,20.59,"P","G","T",,,,,,,,1126,"GUZZLER",,4,1
"TWO SEATERS","MAZDA","MX-5 MIATA",1.8,4,"Auto(L4)","R",23,28,25,25.1,35.54,28.92,"R",,,,,,,,,,720,,"CLKUP",4,1
"TWO SEATERS","MAZDA","MX-5 MIATA",1.8,4,"Manual(M5)","R",25,29,27,27.6,37.6,31.35,"R",,,,,,,,,,666,,,4,1
"TWO SEATERS","MAZDA","MX-5 MIATA",1.8,4,"Manual(M6)","R",24,29,26,26.4,36.7,30.22,"R",,,,,,,,,,693,,,4,1
"TWO SEATERS","MERCEDES-BENZ","SL500",5,8,"Auto(L5)","R",16,23,18,17.85,29.1,21.61,"P","G",,,50,8,,,,,1126,"GUZZLER","EMS 2MODE CLKUP",3,1
"TWO SEATERS","MERCEDES-BENZ","SL600",6,12,"Auto(L5)","R",13,19,15,14.4,24.4,17.66,"P","G",,,50,8,,,,,1351,"GUZZLER","EMS 2MODE CLKUP",4,1
"TWO SEATERS","MERCEDES-BENZ","SLK230 KOMPRESSOR",2.3,4,"Auto(L5)","R",22,30,25,24.62,37.91,29.23,"P",,,"S",48,10,,,,,810,,"EMS 2MODE CLKUP",4,1
"TWO SEATERS","MERCEDES-BENZ","SLK230 KOMPRESSOR",2.3,4,"Manual(M5)","R",21,31,25,23.5,39.19,28.66,"P",,,"S",48,10,,,,,810,,"EMS",4,1
"TWO SEATERS","PLYMOUTH","PROWLER",3.5,6,"Auto(L4)","R",17,23,19,19,29.7,22.68,"P",,,,,,,,,,1065,,"VMODE CLKUP",4,1
"TWO SEATERS","PORSCHE","BOXSTER",2.7,6,"Auto(A5)","R",17,25,20,19.44,31.54,23.49,"P",,,,,,,,,,1012,,"2MODE",4,1
"TWO SEATERS","PORSCHE","BOXSTER",2.7,6,"Manual(M5)","R",19,27,22,21.5,35.1,26.04,"P",,,,,,,,,,921,,,4,1
"TWO SEATERS","PORSCHE","BOXSTER S",3.2,6,"Auto(A5)","R",17,24,19,18.42,30.87,22.51,"P",,,,,,,,,,1065,,"2MODE",4,1
"TWO SEATERS","PORSCHE","BOXSTER S",3.2,6,"Manual(M6)","R",18,26,20,19.5,32.7,23.83,"P",,,,,,,,,,1012,,,4,1
"TWO SEATERS","TOYOTA","MR2",1.8,4,"Manual(M5)","F",25,30,27,27.9,38.3,31.78,"R",,,,46,2,,,,,666,,,4,1
"MINICOMPACT CARS","ASTON MARTIN","DB-7 VANTAGE COUPE",5.9,12,"Auto(L5)","R",11,19,14,12.4,23.9,15.83,"P","G",,,72,6,,,,,1446,"GUZZLER","2MODE CLKUP",4,2
