"CLASS","MFR","CAR LINE","DISPLACEMENT","NUMB CYL","TRANS","DRIVE SYS","INDEX NUMB","CITY MPG (GUIDE)","HWY MPG (GUIDE)","COMB MPG (GUIDE)","UNRND CITY (EPA)","UNRND HWY (EPA)","UNRND COMP (EPA)","FUEL TYPE","GUZLR","TURBO","SPCHGR","AVG 2D PASS VOL","AVG 2D LUGG VOL","AVG 4D PAS VOL","AVG 4D LUGG VOL","AVG HB PAS VOL","AVG HB LUGG VOL","ANL FL CST","ENG BLK TXT","TRANS DESC TXT","VLVS PER CYL","CLS","5C CODE"
"TWO SEATERS","ASTON MARTIN","V8 VANTAGE",4.3,8,"Manual(M6)","R",11,14,20,16,15.2,25.7,18.62,"P","G",,,,,,,,,2672," ",,4,1,
"TWO SEATERS","ASTON MARTIN","V8 VANTAGE ASM",4.3,8,"Auto(S6)","R",12,15,21,17,16.19,27.4,19.85,"P","G",,,,,,,,,2514," ","4MODE ",4,1,
"TWO SEATERS","BMW","Z4 3.0I",3,6,"Manual(M6)","R",30,20,30,24,22.56,38.8,27.79,"P",,,,,,,,,,1783," ",,4,1,
"TWO SEATERS","BMW","Z4 3.0I",3,6,"Auto(S6)","R",30,21,30,24,23.07,38.65,28.18,"P",,,,,,,,,,1783," ","3MODE CLKUP ",4,1,
"TWO SEATERS","BMW","Z4 3.0SI",3,6,"Manual(M6)","R",30,20,30,24,22.56,38.8,27.79,"P",,,,,,,,,,1783," ",,4,1,
"TWO SEATERS","BMW","Z4 3.0SI",3,6,"Auto(S6)","R",30,21,30,24,23.07,38.65,28.18,"P",,,,,,,,,,1783," ","3MODE CLKUP ",4,1,
"TWO SEATERS","BMW","Z4 COUPE",3,6,"Manual(M6)","R",30,20,30,24,22.56,38.8,27.79,"P",,,,,,,,,,1783," ",,4,1,
"TWO SEATERS","BMW","Z4 COUPE",3,6,"Auto(S6)","R",30,21,30,24,23.07,38.65,28.18,"P",,,,,,,,,,1783," ","3MODE CLKUP ",4,1,
"TWO SEATERS","BMW","Z4 M COUPE",3.2,6,"Manual(M6)","R",32,16,24,19,18,30.8,22.14,"P","G",,,,,,,,,2249,"MOTORSPORT",,4,1,
"TWO SEATERS","BMW","Z4 M ROADSTER",3.2,6,"Manual(M6)","R",32,16,24,19,18,30.8,22.14,"P","G",,,,,,,,,2249,"MOTORSPORT",,4,1,
"TWO SEATERS","CADILLAC","XLR",4.4,8,"Auto(S6)","R",148,15,22,17,16.4,28.3,20.23,"P","G",,"S",,,,,,,2514," ","3MODE CLKUP ",4,1,
"TWO SEATERS","CADILLAC","XLR",4.6,8,"Auto(S6)","R",151,17,27,20,18.5,34,23.27,"P",,,,,,,,,,2138," ","3MODE CLKUP ",4,1,
"TWO SEATERS","CHEVROLET","CORVETTE",6,8,"Manual(M6)","R",105,18,28,21,19.8,36.4,24.91,"P",,,,,,,,,,2035," ",,2,1,
"TWO SEATERS","CHEVROLET","CORVETTE",6,8,"Auto(S6)","R",104,17,27,21,19.15,35.25,24.1,"P",,,,,,,,,,2035," ","CLKUP ",2,1,
"TWO SEATERS","CHEVROLET","CORVETTE",7,8,"Manual(M6)","R",101,16,26,20,18.4,33.7,23.12,"P",,,,,,,,,,2138," ",,2,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE COUPE",3.2,6,"Auto(L5)","R",250,21,28,24,23.4,35.4,27.61,"P",,,,,,,,,,1783," ","CLKUP ",3,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE COUPE",3.2,6,"Manual(M6)","R",250,17,25,20,18.8,32.4,23.18,"P",,,,,,,,,,2138," ",,3,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE ROADSTER",3.2,6,"Auto(L5)","R",250,21,28,24,23.4,35.4,27.61,"P",,,,,,,,,,1783," ","CLKUP ",3,1,
"TWO SEATERS","CHRYSLER","CROSSFIRE ROADSTER",3.2,6,"Manual(M6)","R",250,17,25,20,18.8,32.4,23.18,"P",,,,,,,,,,2138," ",,3,1,
"TWO SEATERS","FERRARI","F430",4.3,8,"Auto(A6)","R",3,12,17,14,13.7,22.45,16.61,"P","G",,,,,,,,,3052," ","SIL 3MODE ",4,1,
"TWO SEATERS","FERRARI","F430",4.3,8,"Manual(M6)","R",3,13,17,14,13.9,22.3,16.74,"P","G",,,,,,,,,3052," ","SIL ",4,1,
"TWO SEATERS","FERRARI","FERRARI 599 GTB",5.9,12,"Auto(A6)","R",2,11,15,13,12.35,19.15,14.7,"P","G",,,,,,,,,3287," ","3MODE ",4,1,
"TWO SEATERS","FERRARI","FERRARI 599 GTB",5.9,12,"Manual(M6)","R",2,11,15,12,12.3,18.9,14.59,"P","G",,,,,,,,,3561," ",,4,1,
"TWO SEATERS","HONDA","S2000",2.2,4,"Manual(M6)","R",8,20,26,22,22.2,33.1,26.06,"P",,,,,,,,,,1945," ",,4,1,
"TWO SEATERS","LAMBORGHINI","GALLARDO COUPE",5,10,"Manual(M6)",4,13,12,18,14,12.8,22.9,15.97,"P","G",,,,,,,,,3052," ",,4,1,
"TWO SEATERS","LAMBORGHINI","GALLARDO COUPE",5,10,"Auto(S6)",4,13,12,18,14,13.3,23.7,16.57,"P","G",,,,,,,,,3052," ","2MODE ",4,1,
"TWO SEATERS","LAMBORGHINI","GALLARDO COUPE SL",5,10,"Manual(M6)","R",13,12,19,14,13.2,24.9,16.74,"P","G",,,,,,,,,3052," ",,4,1,
"TWO SEATERS","LAMBORGHINI","GALLARDO COUPE SL",5,10,"Auto(S6)","R",13,12,20,15,13.75,25.75,17.4,"P","G",,,,,,,,,2851," ","2MODE ",4,1,
"TWO SEATERS","LAMBORGHINI","GALLARDO SPYDER",5,10,"Manual(M6)",4,13,11,17,13,12,21.3,14.93,"P","G",,,,,,,,,3287," ",,4,1,
"TWO SEATERS","LAMBORGHINI","GALLARDO SPYDER",5,10,"Auto(S6)",4,13,11,17,13,12.55,22,15.56,"P","G",,,,,,,,,3287," ","2MODE ",4,1,
