"CLASS","MFR","CAR LINE","DISPLACEMENT","NUMB CYL","TRANS","DRIVE SYS","INDEX NUMB","CITY MPG (GUIDE)","HWY MPG (GUIDE)","COMB MPG (GUIDE)","UNRND CITY (EPA)","UNRND HWY (EPA)","UNRND COMP (EPA)","FUEL TYPE","GUZLR","TURBO","SPCHGR","AVG 2D PASS VOL","AVG 2D LUGG VOL","AVG 4D PAS VOL","AVG 4D LUGG VOL","AVG HB PAS VOL","AVG HB LUGG VOL","ANL FL CST","ENG BLK TXT","TRANS DESC TXT","VLVS PER CYL","CLS","REL DT","5C CODE"
"TWO SEATERS","ASTON MARTIN","DBS COUPE",5.9,12,"Manual(M6)","R",1,11,17,13,13.7,22.9,16.72,"P","G",,,,,,,,,3460," ",,4,1,23-Nov-07,"DERIVED"
"TWO SEATERS","AUDI","TT ROADSTER QUATTRO",2,4,"Auto(S6)",4,15,21,29,24,27.58,39.63,31.95,"P",,"T",,,,,,,,1876," ","3MODE ",4,1,15-May-08,"5-CYCLE"
"TWO SEATERS","CHEVROLET","CORVETTE",6.2,8,"Auto(S6)","R",106,15,25,18,18.25,34.35,23.13,"P",,,,,,,,,,2502," ","2MODE CLKUP ",2,1,30-Apr-08,"DERIVED"
"TWO SEATERS","CHEVROLET","CORVETTE",6.2,8,"Manual(M6)","R",107,16,26,19,20.2,35.8,25.13,"P",,,,,,,,,,2367," ",,2,1,30-Apr-08,"DERIVED"
"TWO SEATERS","MERCEDES-BENZ","SL550",5.5,8,"Auto(L7)","R",15,13,21,16,16.5,29.3,20.54,"P","G",,,50,7,,,,,2812," ","EMS 2MODE CLKUP",4,1,1-May-08,"DERIVED"
"TWO SEATERS","MERCEDES-BENZ","SL600",5.5,12,"Auto(L5)","R",11,11,18,14,14.1,24.2,17.36,"P","G","T",,50,7,,,,,3213," ","EMS 2MODE CLKUP",3,1,1-May-08,"DERIVED"
"TWO SEATERS","MERCEDES-BENZ","SL63 AMG",6.2,8,"Auto(S7)","R",1,12,19,14,14.6,26,18.19,"P","G","T",,50,7,,,,,3213," ","EMS 2MODE CLKUP",3,1,1-May-08,"DERIVED"
"TWO SEATERS","MERCEDES-BENZ","SL65 AMG",6,12,"Auto(S5)","R",14,11,18,14,14.1,24.6,17.45,"P","G","T",,50,7,,,,,3213," ","EMS 2MODE CLKUP",3,1,1-May-08,"DERIVED"
"TWO SEATERS","MERCEDES-BENZ","SLK300",3,6,"Manual(M6)","R",13,17,26,20,21.9,35.9,26.56,"P",,,,49,7,,,,,2250," ","EMS ",4,1,1-May-08,"DERIVED"
"TWO SEATERS","MERCEDES-BENZ","SLK300",3,6,"Auto(L7)","R",13,19,26,21,23.3,36.2,27.75,"P",,,,49,7,,,,,2142," ","EMS 2MODE CLKUP",4,1,1-May-08,"DERIVED"
"TWO SEATERS","MERCEDES-BENZ","SLK350",3.5,6,"Auto(L7)","R",12,18,26,21,22.2,36.3,26.9,"P",,,,49,7,,,,,2142," ","EMS 2MODE CLKUP",4,1,1-May-08,"DERIVED"
"TWO SEATERS","MERCEDES-BENZ","SLK350",3.5,6,"Manual(M6)","R",12,18,26,21,22.1,36.1,26.77,"P",,,,49,7,,,,,2142," ","EMS ",4,1,1-May-08,"DERIVED"
"MINICOMPACT CARS","ASTON MARTIN","DB9",5.9,12,"Manual(M6)","R",2,11,17,13,13.8,23.7,16.99,"P","G",,,78,5,,,,,3460," ",,4,2,25-Mar-08,"DERIVED"
"MINICOMPACT CARS","ASTON MARTIN","DB9",5.9,12,"Auto(S6)","R",3,12,19,14,15.1,26.7,18.77,"P","G",,,78,5,,,,,3213," ","CLKUP ",4,2,25-Mar-08,"DERIVED"
"MINICOMPACT CARS","JAGUAR","JAGUAR XK",4.2,8,"Auto(L6)","R",309,16,25,19,19.9,34.5,24.58,"P",,,,74,11,,,,,2367," ","3MODE CLKUP ",4,2,2-Jan-08,"DERIVED"
"MINICOMPACT CARS","JAGUAR","JAGUAR XK CONVERTIBLE",4.2,8,"Auto(L6)","R",309,16,25,19,19.9,34.5,24.58,"P",,,,74,10,,,,,2367," ","3MODE CLKUP ",4,2,2-Jan-08,"DERIVED"
"MINICOMPACT CARS","JAGUAR","JAGUAR XKR",4.2,8,"Auto(L6)","R",310,15,23,18,19.1,31.5,23.21,"P",,,"S",74,11,,,,,2502," ","3MODE CLKUP ",4,2,2-Jan-08,"DERIVED"
"MINICOMPACT CARS","JAGUAR","JAGUAR XKR CONVERTIBLE",4.2,8,"Auto(L6)","R",310,15,23,18,19.1,31.5,23.21,"P",,,"S",74,10,,,,,2502," ","3MODE CLKUP ",4,2,2-Jan-08,"DERIVED"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER",3.8,6,"Manual(M6)","F",27,16,25,19,20,34.6,24.69,"P",,,,76,5,,,,,2367,"SOHC",,4,2,21-Apr-08,"DERIVED"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER",3.8,6,"Auto(S5)","F",27,16,24,19,20.15,33.25,24.49,"P",,,,76,5,,,,,2367,"SOHC","2MODE CLKUP ",4,2,21-Apr-08,"DERIVED"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER",2.4,4,"Manual(M5)","F",26,19,26,22,24.23,36.98,28.68,"R",,,,76,5,,,,,1911,"SOHC",,4,2,21-Apr-08,"DERIVED"
"MINICOMPACT CARS","MITSUBISHI","ECLIPSE SPYDER",2.4,4,"Auto(S4)","F",26,19,26,22,24.22,36.27,28.47,"R",,,,76,5,,,,,1911,"SOHC","2MODE CLKUP ",4,2,21-Apr-08,"DERIVED"
"MINICOMPACT CARS","VOLKSWAGEN","NEW BEETLE CONVERTIBLE",2.5,5,"Manual(M5)","F",5,20,28,23,25.26,39.13,30.05,"R",,,,78,5,,,,,1827," ",,4,2,15-Feb-08,"DERIVED"
"MINICOMPACT CARS","VOLKSWAGEN","NEW BEETLE CONVERTIBLE",2.5,5,"Auto(S6)","F",5,20,28,23,24.85,39.73,29.89,"R",,,,78,5,,,,,1827," ","3MODE CLKUP ",4,2,15-Feb-08,"DERIVED"
"SUBCOMPACT CARS","AUDI","TT COUPE QUATTRO",2,4,"Auto(S6)",4,15,21,29,24,27.58,39.63,31.95,"P",,"T",,,,,,74,13,1876," ","3MODE ",4,3,15-May-08,"5-CYCLE"
"SUBCOMPACT CARS","CHEVROLET","AVEO 5",1.6,4,"Auto(L4)","F",123,25,34,28,31.8,47.9,37.47,"R",,,,,,,,91,7,1499," ","CLKUP ",4,3,1-May-08,"DERIVED"
"SUBCOMPACT CARS","MAZDA","MAZDA RX-8",1.3,2,"Manual(M6)","R",1,16,22,18,20.4,30.2,23.89,"P",,,,,,89,8,,,2502," ",,0,3,14-Mar-08,"DERIVED"
"SUBCOMPACT CARS","MAZDA","MAZDA RX-8",1.3,2,"Auto(S6)","R",1,16,23,19,20.2,32.1,24.24,"P",,,,,,89,8,,,2367," ","DC/FW",0,3,14-Mar-08,"DERIVED"
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",3.8,6,"Manual(M6)","F",22,16,25,19,20,34.6,24.69,"P",,,,,,,,82,16,2367,"SOHC",,4,3,21-Apr-08,"DERIVED"
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",3.8,6,"Auto(S5)","F",22,16,24,19,20.15,33.25,24.49,"P",,,,,,,,82,16,2367,"SOHC","2MODE CLKUP ",4,3,21-Apr-08,"DERIVED"
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",2.4,4,"Auto(S4)","F",21,19,26,22,24.21,36.27,28.47,"R",,,,,,,,82,16,1911,"SOHC","2MODE CLKUP ",4,3,21-Apr-08,"DERIVED"
"SUBCOMPACT CARS","MITSUBISHI","ECLIPSE",2.4,4,"Manual(M5)","F",21,20,28,23,25.15,38.62,29.83,"R",,,,,,,,82,16,1827,"SOHC",,4,3,21-Apr-08,"DERIVED"
"SUBCOMPACT CARS","PONTIAC","G3",1.6,4,"Auto(L4)","F",123,25,34,28,31.8,47.9,37.47,"R",,,,,,,,91,7,1499," ","CLKUP ",4,3,1-May-08,"DERIVED"
"SUBCOMPACT CARS","TOYOTA","SCION TC",2.4,4,"Manual(M5)","F",9,20,27,23,25.6,38.2,30.06,"R",,,,,,,,85,13,1827," ",,4,3,18-Apr-08,"DERIVED"
